SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,FUL,QTR1,QTR2,QTR3,QTR4,OT1,OT2,OT3
2017-18,1610612759,SAS,San Antonio Spurs,0021701226,2018-04-11T00:00:00,SAS @ NOP,98,26,17,29,26,,,
2017-18,1610612750,MIN,Minnesota Timberwolves,0021701225,2018-04-11T00:00:00,MIN vs. DEN,112,29,33,24,15,11.0,,
2017-18,1610612765,DET,Detroit Pistons,0021701224,2018-04-11T00:00:00,DET @ CHI,119,35,31,28,25,,,
2017-18,1610612752,NYK,New York Knicks,0021701220,2018-04-11T00:00:00,NYK @ CLE,110,20,37,27,26,,,
2017-18,1610612758,SAC,Sacramento Kings,0021701230,2018-04-11T00:00:00,SAC vs. HOU,96,28,24,27,17,,,
2017-18,1610612738,BOS,Boston Celtics,0021701219,2018-04-11T00:00:00,BOS vs. BKN,110,27,26,30,27,,,
2017-18,1610612743,DEN,Denver Nuggets,0021701225,2018-04-11T00:00:00,DEN @ MIN,106,26,28,27,20,5.0,,
2017-18,1610612760,OKC,Oklahoma City Thunder,0021701227,2018-04-11T00:00:00,OKC vs. MEM,137,38,39,28,32,,,
2017-18,1610612746,LAC,LA Clippers,0021701228,2018-04-11T00:00:00,LAC vs. LAL,100,32,21,21,26,,,
2017-18,1610612761,TOR,Toronto Raptors,0021701221,2018-04-11T00:00:00,TOR @ MIA,109,29,24,25,27,4.0,,
2017-18,1610612763,MEM,Memphis Grizzlies,0021701227,2018-04-11T00:00:00,MEM @ OKC,123,28,29,39,27,,,
2017-18,1610612745,HOU,Houston Rockets,0021701230,2018-04-11T00:00:00,HOU @ SAC,83,22,22,19,20,,,
2017-18,1610612751,BKN,Brooklyn Nets,0021701219,2018-04-11T00:00:00,BKN @ BOS,97,22,21,27,27,,,
2017-18,1610612764,WAS,Washington Wizards,0021701222,2018-04-11T00:00:00,WAS @ ORL,92,23,22,30,17,,,
2017-18,1610612762,UTA,Utah Jazz,0021701229,2018-04-11T00:00:00,UTA @ POR,93,21,20,18,34,,,
2017-18,1610612740,NOP,New Orleans Pelicans,0021701226,2018-04-11T00:00:00,NOP vs. SAS,122,27,34,29,32,,,
2017-18,1610612739,CLE,Cleveland Cavaliers,0021701220,2018-04-11T00:00:00,CLE vs. NYK,98,20,17,34,27,,,
2017-18,1610612755,PHI,Philadelphia 76ers,0021701223,2018-04-11T00:00:00,PHI vs. MIL,130,46,34,25,25,,,
2017-18,1610612747,LAL,Los Angeles Lakers,0021701228,2018-04-11T00:00:00,LAL @ LAC,115,39,25,28,23,,,
2017-18,1610612753,ORL,Orlando Magic,0021701222,2018-04-11T00:00:00,ORL vs. WAS,101,26,29,21,25,,,
2017-18,1610612741,CHI,Chicago Bulls,0021701224,2018-04-11T00:00:00,CHI vs. DET,87,21,29,24,13,,,
2017-18,1610612748,MIA,Miami Heat,0021701221,2018-04-11T00:00:00,MIA vs. TOR,116,27,20,24,34,11.0,,
